news_id	label	title	keywords
technews-01cf5b9fd3db8979	科技	CPO 題材太熱估值過高！大摩降評大立光至中立、減碼玉晶光	CPO,iPhone,半導體,鏡頭,FAU,大立光,玉晶光
technews-02228743d8ad1a3e	總經	日圓政策添定心丸，財經雙將片山皋月、城內實留任	國際觀察,國際金融,內閣改組,城內實,片山皋月,高市早苗
technews-032ebecc838e6f45	科技	強茂搶攻印度車用、工業商機，秀 SiC 與新世代 MOSFET	半導體,材料、設備,零組件,mosfet,SiC,功率半導體,電源 IC
technews-05fa11b10add9876	科技	華為：至 2035 年全球年度 Token 消耗量估增 10 萬倍	AI 人工智慧,雲端,Agentic AI,AGI,Token,智慧體,華為
technews-08cf6c7f1712bb8b	科技	AI 需求旺  村田製作所：「大膽評估」擴增 MLCC 產能	AI 人工智慧,國際貿易,零組件,AI 伺服器,MLCC,村田製作所
technews-095c3fdfc10a6024	不收	水星冷卻收縮之路尚未結束，新研究：縮水速度比過去預估快 30%	天文,自然科學,太陽系,水星,皺脊,行星收縮
technews-0d45be46bed26e4a	總經	經濟利空＋消費者偏好轉變  連鎖餐飲股失寵	證券,財經,食品科技,通膨,連鎖餐廳,連鎖餐飲股
technews-0e79d2b143fb0010	不收	史上最年幼系外行星 Elias 2-24b 現身，不到 100 萬歲質量已木星 4 倍	天文,自然科學,Elias 2-24 b,凱克天文台,原行星盤,核心吸積,系外行星
technews-0fa2e04b4f5de2fe	科技	從開天價搶地到全美九州喊卡，AI 資料中心掀起的投資風險與政治警訊	AI 人工智慧,伺服器,國際觀察,國際貿易,房地產,能源科技,AI 熱潮,地價
technews-1266be9a5e6c8944	不收	不需電力、沒有邏輯電路，科學家開發史上算術最快的 DNA 分子電腦	尖端科技,材料,生物科技,DNA,分子電腦,熱力學,物理系統
technews-15029249084fd9c6	不收	人類淨零排放後，研究：地球最大碳匯將開始「回吐」	環境科學,自然科學,二氧化碳,南大洋,暖化,淨零排放,溫室氣體,碳匯
technews-16c13bba35103fcc	不收	全球熱浪加劇，韓國 Kolmar 推出防曬降溫創新技術	市場動態,科技生活,Kolmar,防曬
technews-17c10caa4cad160e	不收	星系也會暴風成長，M74 與鄰居交會後「擦出」一片年輕恆星	天文,M74,UGC 1176,星系擦撞,螺旋星系
technews-1c4735c67837fe35	科技	要求修 Bug，阿里通義千問卻自行改權重！研究揭 AI 代理越權自我修改	AI 人工智慧,中國觀察,AI 代理,Qwen,程式碼,通義千問,阿里巴巴
technews-1e334730a69b38bb	科技	AI 擴產潮遇人力瓶頸，美半導體業 2030 年恐面臨逾 15 萬人才缺口	AI 人工智慧,人力資源,半導體,國際觀察,晶圓,晶片,AI 晶片,SK 海力士
technews-21b20358bbf7335c	不收	台普威取得日本 JC-STAR 資安認證，搶進 2027 儲能新門檻	能源科技,電力儲存,儲能,台普威,雲豹能源
technews-23a5c2e62f7252eb	不收	59% 患者癌細胞完全消失！大腸癌術前免疫療法創奇蹟，患者近三年零復發	生物科技,醫療科技,免疫療法,大腸癌,癌細胞,腫瘤
technews-26101dd8bfb138c2	科技	從辦公設備到 AI 數位轉型夥伴，台灣理光啟動企業「20/80 效率革命」	AI 人工智慧
technews-27f372cc1cd1b492	不收	吃塑膠也能救地球，NASA 贊助新技術將 PET 變身 3D 列印餅乾	3D列印,尖端科技,食品科技,NASA,µBites,塑膠,廢棄物,餅乾
technews-29599952cdf3b6a8	不收	27 年老牌易飛網揮別八年虧損，靠「包機戰術」突圍創近億月營收	公司治理,旅遊,科技生活,網路,財經,OTA,包機,團體旅遊
technews-2b1e7dc96f85bf06	科技	AI 資料中心也能小型化：20 MW 以下分散部署，讓電網喘口氣	國際觀察,材料、設備,Penguin Solutions,耗電量,資料中心
technews-2c72ae3aa9f76b2d	總經	中國工銀機密文件曝光，揭海外分行成戰略融資樞紐	中國觀察,國際觀察,國際金融,中國工商銀行,俄羅斯,倫敦,政治任務,機密文件
technews-2e6ac59fbc5db89e	不收	台泥綠能技轉水試所青蟹技術！漁電案場中秋首賣「光電蝦」	太陽能,能源科技,財經,農業科技,光電蝦,台泥綠能,水產試驗所,漁電案場
technews-32e95ae3d0a02d70	不收	多粒子態新紀元，超冷銫原子實驗佐證百年前「貝特弦」預測	尖端科技,自然科學,一維空間,多粒子束縛態,貝特弦,銫原子雲
technews-33e3d04eea03b0af	不收	加州祭新法，限制未滿 16 歲用戶接觸成癮式社群功能	數位內容,社群,科技政策,兒少,加州,成癮,法案,演算法
technews-35a9c24aea1835fe	不收	腸道細菌會影響情緒嗎？研究發現它們可能牽動大腦化學訊號	生物科技,醫療科技,腦腸系統,腸腦軸
technews-37b8c86e07d79c56	不收	破解長新冠腦霧謎團，研究證實多巴胺神經損傷是失去動力的關鍵	生物科技,醫療科技,多巴胺,情緒,生物學,神經損傷,腦霧,長新冠
technews-3a0980bb69c24fdc	不收	不是矽谷、華爾街，美國富豪都是一些解決日常生活小事的人	國際觀察,創業,合夥企業,實體企業家,日常生活問題,白手起家,繼承,美國富豪
technews-3b52b090bda19764	不收	K 型經濟起飛  美國航空擴增頭等艙、搶高階客	交通運輸,旅遊,航太科技,財經,商務艙,客機,美國航空,頭等艙
technews-3e00b6f3f7017eb7	科技	Anthropic 籲 AI 發展踩煞車，三階段計畫卡中國變數	AI 人工智慧,Claude,中國觀察,科技政策,資訊安全,Anthropic,Dario Amodei,中國
technews-3f47489387aebd4a	科技	AI 晶片封裝突破光罩極限，CoWoS-L 穩居先進封裝主流至 2028 年	AI 人工智慧,半導體,晶片,財經,AMD,ASIC,CoWoS-L,CSP
technews-441febe33cf6b028	科技	黃仁勳：輝達明年晶片銷售量將翻倍	AI 人工智慧,GPU,晶片,Blackwell,Rubin,輝達,黃仁勳
technews-474867f368732b21	不收	星艦首創營收、SpaceX 拚太空 AI 成本明年追平地面	尖端科技,航太科技,SpaceX,Starlink,Starship,星艦,星鏈
technews-477ef03511ab08a1	科技	長鑫存儲啟動積極擴產，目標挑戰三星與 SK 海力士 60 萬到 70 萬片月產能	IC 設計,中國觀察,半導體,晶片,材料、設備,記憶體,零組件,dram
technews-490c91e85a2ed4f3	不收	自駕計程車最大風險是駭客，專家：仍比人類開車安全	交通運輸,自駕車,資訊安全,Cybercab,robotaxi,交通安全,特斯拉,自駕計程車
technews-4be3663936b61557	不收	拒當盤子，購買二手電腦零件必看的六大避險心法與驗貨訣竅	3C,3C周邊,科技生活,電腦,二手交易,二手電腦,交易平台,信用卡
technews-504cf9c9114747ab	總經	央行利率連 10 凍！今年 GDP 上修至 11.48%、房市鬆綁二屋貸款至七成	國際觀察,房地產,科技生活,財經,中信房屋,中央銀行,住商不動產,房市信用管制
technews-51dc0622d14ed0ea	不收	氮含量異常高，天文學家證實星際彗星 3I/ATLAS 來自零下 243 度的恆星邊陲	天文,自然科學,3i/Atlas,星際彗星,行星
